,Jon Hecht,,Democrat,,
,Richard Haggerty,,Democrat,,
,Michael Day,,Democrat,,
,Kate Lipper-Garabedian,,Democrat,,
,Steven Ultrino,,Democrat,,
,Christine Barber,,Democrat,,
,Paul Donato,,Democrat,,
,Colleen Garry,,Democrat,,
,Danillo Sena,,Democrat,,
,Bruce Ayers,,Democrat,,
,Tackey Chan,,Democrat,,
,Ronald Mariano,,Democrat,,
,James M. Murphy,,Democrat,,
,Mack Cusack,,Democrat,,
,William C. Galvin,,Democrat,,
,William Driscoll,,Democrat,,
,Louis Kafka,,Democrat,,
,Shawn Dooley,,Republican,,
,Jeffrey Roy,,Democrat,,
,Paul McMurtry,,Democrat,,
,John H. Rogers,,Democrat,,
,Denise Garlick,,Democrat,,
,Alice Peisch,,Democrat,,
,Tommy Vitolo,,Democrat,,
,Matt Muratore,,Republican,,
,Susan Williams Gifford,,Republican,,
,Joan Meschino,,Democrat,,
,Patrick J. Kearney,,Democrat,,
,David DeCoste,,Republican,,
,Josh S. Cutler,,Democrat,,
,Alyson Sullivan,,Republican,,
,Angelo D'Emilia,,Republican,,
,Gerry Cassidy,,Democrat,,
,Michelle DuBois,,Democrat,,
,Claire D. Cronin,,Democrat,,
,Kathleen LaNatra,,Democrat,,
,Adrian Madaro,,Democrat,,
,Daniel Joseph Ryan,,Democrat,,
,Aaron Michlewitz,,Democrat,,
,David Biele,,Democrat,,
,Liz Miranda,,Democrat,,
,Russell Holmes,,Democrat,,
,Chynah Tyler,,Democrat,,
,Jay Livingstone,,Democrat,,
,Jon Santiago,,Democrat,,
,Edward F. Coppinger,,Democrat,,
,Liz Malia,,Democrat,,
,Dan Cullinane,,Democrat,,
,Daniel J. Hunt,,Democrat,,
,Angelo Scaccia,,Democrat,,
,Nika Elugardo,,Democrat,,
,RoseLee Vincent,,Democrat,,
,Kevin Honan,,Democrat,,
,Michael Moran,,Democrat,,
,Robert DeLeo,,Democrat,,
,Kimberly Ferguson,,Republican,,
,Jonathan Zlotnik,,Democrat,,
,Stephan Hay,,Democrat,,
,Natalie Higgins,,Democrat,,
,Donnie Berthiaume,,Republican,,
,Peter Durant,,Republican,,
,Paul Frost,,Republican,,
,Michael Soter,,Republican,,
,David Muradian,,Republican,,
,Brian Murray,,Democrat,,
,Hannah Kane,,Republican,,
,Harold Naughton Jr.,,Democrat,,
,John J. Mahoney,,Democrat,,
,Jim O'Day,,Democrat,,
,Mary Keefe,,Democrat,,
,Dan Donahue,,Democrat,,
,David LeBoeuf,,Democrat,,
,Joseph D. McKenna,,Republican,,
,Adam G. Hinds,,Democrat,,
,Paul Feeney,,Democrat,,
,Michael Rodrigues,,Democrat,,
,Mark Montigny,,Democrat,,
,Julian Cyr,,Democrat,,
,Diana DiZoglio,,Democrat,,
,Joan Lovely,,Democrat,,
,Brendan Crighton,,Democrat,,
,Bruce Tarr,,Republican,,
,Barry Finegold,,Democrat,,
,James T. Welch,,Democrat,,
,Eric Lesser,1985-02-27,Democrat,,
,John Velis,1979-01-25,Democrat,,
,Jo Comerford,,Democrat,,
,Edward J. Kennedy,,Democrat,,
,Patricia D. Jehlen,,Democrat,,
,Michael J. Barrett,,Democrat,,
,Cindy Friedman,,Democrat,,
,Jason Lewis,,Democrat,,
,Cynthia Stone Creem,,Democrat,,
,Karen Spilka,,Democrat,,
,Sal DiDomenico,,Democrat,,
,Jamie Eldridge,,Democrat,,
,Becca Rausch,,Democrat,,
,Walter Timilty,,Democrat,,
,John F. Keenan,,Democrat,,
,Mike Rush,,Democrat,,
,Susan Moran,,Democrat,,
,Marc Pacheco,,Democrat,,
,Micahel Brady,,Democrat,,
,Patrick O'Connor,,Republican,,
,Nick Collins,,Democrat,,
,Sonia Chang-Diaz,,Democrat,,
,Joseph Boncore,,Democrat,,
,Will Brownsberger,,Democrat,,
,Harriette L. Chandler,,Democrat,,
,Michael O. Moore,,Democrat,,
,Anne Gobi,1962-12-27,Democrat,,
,Dean Tran,,Republican,,
,Ryan Fattman,,Republican,,
