,State Representative,MA,107,2 years,5,2020-11-03
,State Representative,MA,108,2 years,4,2020-11-03
,State Representative,MA,109,2 years,5,2020-11-03
,State Representative,MA,110,2 years,17,2020-11-03
,State Representative,MA,111,2 years,15,2020-11-03
,State Representative,MA,112,2 years,3,2020-11-03
,State Representative,MA,113,2 years,3,2020-11-03
,State Representative,MA,114,2 years,2,2020-11-03
,State Representative,MA,115,2 years,7,2020-11-03
,State Representative,MA,116,2 years,1,2020-11-03
,State Representative,MA,117,2 years,1,2020-11-03
,State Representative,MA,118,2 years,1,2020-11-03
,State Representative,MA,119,2 years,5,2020-11-03
,State Representative,MA,120,2 years,6,2020-11-03
,State Representative,MA,121,2 years,6,2020-11-03
,State Representative,MA,122,2 years,5,2020-11-03
,State Representative,MA,123,2 years,11,2020-11-03
,State Representative,MA,124,2 years,1,2020-11-03
,State Representative,MA,125,2 years,2,2020-11-03
,State Representative,MA,126,2 years,6,2020-11-03
,State Representative,MA,127,2 years,10,2020-11-03
,State Representative,MA,128,2 years,5,2020-11-03
,State Representative,MA,129,2 years,13,2020-11-03
,State Representative,MA,130,2 years,11,2020-11-03
,State Representative,MA,131,2 years,3,2020-11-03
,State Representative,MA,132,2 years,1,2020-11-03
,State Representative,MA,133,2 years,1,2020-11-03
,State Representative,MA,134,2 years,9,2020-11-03
,State Representative,MA,135,2 years,11,2020-11-03
,State Representative,MA,136,2 years,3,2020-11-03
,State Representative,MA,137,2 years,1,2020-11-03
,State Representative,MA,138,2 years,13,2020-11-03
,State Representative,MA,139,2 years,4,2020-11-03
,State Representative,MA,140,2 years,5,2020-11-03
,State Representative,MA,141,2 years,6,2020-11-03
,State Representative,MA,142,2 years,4,2020-11-03
,State Representative,MA,143,2 years,4,2020-11-03
,State Representative,MA,144,2 years,2,2020-11-03
,State Representative,MA,145,2 years,7,2020-11-03
,State Representative,MA,146,2 years,3,2020-11-03
,State Representative,MA,147,2 years,6,2020-11-03
,State Representative,MA,148,2 years,1,2020-11-03
,State Representative,MA,149,2 years,3,2020-11-03
,State Representative,MA,150,2 years,1,2020-11-03
,State Representative,MA,151,2 years,3,2020-11-03
,State Representative,MA,152,2 years,3,2020-11-03
,State Representative,MA,153,2 years,10,2020-11-03
,State Representative,MA,154,2 years,9,2020-11-03
,State Representative,MA,155,2 years,1,2020-11-03
,State Representative,MA,156,2 years,11,2020-11-03
,State Representative,MA,157,2 years,5,2020-11-03
,State Representative,MA,158,2 years,15,2020-11-03
,State Representative,MA,159,2 years,10,2020-11-03
,State Representative,MA,160,2 years,5,2020-11-03
,State Representative,MA,161,2 years,15,2020-11-03
,State Representative,MA,162,2 years,2,2020-11-03
,State Representative,MA,163,2 years,15,2020-11-03
,State Representative,MA,164,2 years,3,2020-11-03
,State Representative,MA,165,2 years,4,2020-11-03
,State Representative,MA,166,2 years,7,2020-11-03
,State Representative,MA,167,2 years,14,2020-11-03
,State Representative,MA,168,2 years,5,2020-11-03
,State Representative,MA,169,2 years,9,2020-11-03
,State Representative,MA,170,2 years,1,2020-11-03
,State Representative,MA,171,2 years,3,2020-11-03
,State Representative,MA,172,2 years,9,2020-11-03
,State Representative,MA,173,2 years,2,2020-11-03
,State Representative,MA,174,2 years,1,2020-11-03
,State Representative,MA,175,2 years,3,2020-11-03
,State Representative,MA,176,2 years,4,2020-11-03
,State Representative,MA,177,2 years,1,2020-11-03
,State Representative,MA,178,2 years,5,2020-11-03
,State Representative,MA,179,2 years,2,2020-11-03
,State Representative,MA,180,2 years,3,2020-11-03
,State Representative,MA,181,2 years,4,2020-11-03
,State Representative,MA,182,2 years,1,2020-11-03
,State Representative,MA,183,2 years,3,2020-11-03
,State Representative,MA,184,2 years,3,2020-11-03
,State Representative,MA,185,2 years,6,2020-11-03
,State Representative,MA,186,2 years,1,2020-11-03
,State Representative,MA,187,2 years,1,2020-11-03
,State Representative,MA,188,2 years,5,2020-11-03
,State Representative,MA,189,2 years,2,2020-11-03
,State Representative,MA,190,2 years,4,2020-11-03
,State Representative,MA,191,2 years,1,2020-11-03
,State Representative,MA,192,2 years,5,2020-11-03
,State Representative,MA,193,2 years,11,2020-11-03
,State Representative,MA,194,2 years,4,2020-11-03
,State Representative,MA,195,2 years,3,2020-11-03
,State Representative,MA,196,2 years,20,2020-11-03
,State Representative,MA,197,2 years,1,2020-11-03
,State Representative,MA,198,2 years,3,2020-11-03
,State Representative,MA,199,2 years,17,2020-11-03
,State Representative,MA,200,2 years,8,2020-11-03
,State Representative,MA,201,2 years,5,2020-11-03
,State Representative,MA,202,2 years,4,2020-11-03
,State Representative,MA,203,2 years,2,2020-11-03
,State Representative,MA,204,2 years,2,2020-11-03
,State Representative,MA,205,2 years,3,2020-11-03
,State Representative,MA,206,2 years,5,2020-11-03
,State Representative,MA,207,2 years,12,2020-11-03
,State Representative,MA,208,2 years,1,2020-11-03
,State Representative,MA,209,2 years,3,2020-11-03
,State Representative,MA,210,2 years,2,2020-11-03
,State Representative,MA,211,2 years,3,2020-11-03
,State Representative,MA,212,2 years,13,2020-11-03
,State Representative,MA,213,2 years,5,2020-11-03
,State Representative,MA,214,2 years,7,2020-11-03
,State Representative,MA,215,2 years,4,2020-11-03
,State Representative,MA,216,2 years,4,2020-11-03
,State Representative,MA,217,2 years,1,2020-11-03
,State Representative,MA,218,2 years,3,2020-11-03
,State Representative,MA,NULL,2 years,NULL,2020-11-03
,State Senator,MA,219,2 years,2,2020-11-03
,State Senator,MA,220,2 years,2,2020-11-03
,State Senator,MA,221,2 years,5,2020-11-03
,State Senator,MA,222,2 years,14,2020-11-03
,State Senator,MA,223,2 years,2,2020-11-03
,State Senator,MA,224,2 years,1,2020-11-03
,State Senator,MA,225,2 years,4,2020-11-03
,State Senator,MA,226,2 years,1,2020-11-03
,State Senator,MA,227,2 years,13,2020-11-03
,State Senator,MA,228,2 years,1,2020-11-03
,State Senator,MA,229,2 years,5,2020-11-03
,State Senator,MA,230,2 years,3,2020-11-03
,State Senator,MA,231,2 years,1,2020-11-03
,State Senator,MA,232,2 years,1,2020-11-03
,State Senator,MA,233,2 years,1,2020-11-03
,State Senator,MA,234,2 years,8,2020-11-03
,State Senator,MA,235,2 years,4,2020-11-03
,State Senator,MA,236,2 years,2,2020-11-03
,State Senator,MA,237,2 years,3,2020-11-03
,State Senator,MA,238,2 years,11,2020-11-03
,State Senator,MA,239,2 years,8,2020-11-03
,State Senator,MA,240,2 years,5,2020-11-03
,State Senator,MA,241,2 years,6,2020-11-03
,State Senator,MA,242,2 years,1,2020-11-03
,State Senator,MA,243,2 years,2,2020-11-03
,State Senator,MA,244,2 years,5,2020-11-03
,State Senator,MA,245,2 years,5,2020-11-03
,State Senator,MA,246,2 years,1,2020-11-03
,State Senator,MA,247,2 years,14,2020-11-03
,State Senator,MA,248,2 years,3,2020-11-03
,State Senator,MA,249,2 years,2,2020-11-03
,State Senator,MA,250,2 years,1,2020-11-03
,State Senator,MA,251,2 years,6,2020-11-03
,State Senator,MA,252,2 years,2,2020-11-03
,State Senator,MA,253,2 years,4,2020-11-03
,State Senator,MA,254,2 years,10,2020-11-03
,State Senator,MA,255,2 years,6,2020-11-03
,State Senator,MA,256,2 years,3,2020-11-03
,State Senator,MA,257,2 years,2,2020-11-03
,State Senator,MA,258,2 years,3,2020-11-03
