1,Green Energy,supports,https://www.energy.gov/science-innovation/clean-energy
1,Expand Obamacare,supports,https://www.healthcare.gov/glossary/affordable-care-act/
1,Woman Right To Choose,supports,https://www.aclu.org/other/right-choose-25-looking-back-and-ahead
3,Green New deal,supports,https://www.congress.gov/bill/116th-congress/house-resolution/109/text
3,Woman Right To Choose,supports,https://www.aclu.org/other/right-choose-25-looking-back-and-ahead
4,Woman Right To Choose,supports,https://www.aclu.org/other/right-choose-25-looking-back-and-ahead
